lga,Median House Price,Mean House Price,Normalised Median House Price,Normalised Mean House Price,Crime Rate,Facility Tally,Greenspace Tally,Greenspace_area,Response Time,School Tally,(LGA Area),(LGA Population),(Num suburbs),living standard LR,living standard NMI
ALPINE,460000,443428.571,0.1783455289594444,0.1541503363652545,0.8090798540737738,0.1569767441860465,0.0,0.0,0.4230769230769231,1.0,4788.2,12812,7,0.2271870209267932,2.2790178564512082
ARARAT,163250,163250.0,0.031129852412253505,0.02879173160098855,0.4167004458856911,0.1744186046511628,0.0,0.0,0.7107023411371237,0.9625,4211.1,11844,2,0.228108181404968,2.156227507844175
BALLARAT,416000,431016.667,0.1565174252759519,0.14859695316983515,0.4316984191325497,0.5406976744186046,0.0,0.0,0.9255852842809364,0.9375,739.0,109504,30,0.30663808879699,2.715337431545911
BANYULE,880500,991750.0,0.3869527471164579,0.399482479563988,0.6931495743818403,0.4040697674418605,0.14357501794687724,0.005607183153217312,0.9456521739130436,0.7,62.5,131640,18,0.33978874243541396,2.650137192237664
BASS COAST,495500,469630.435,0.19595683988589851,0.16587367802389638,0.6939602756384272,0.2296511627906977,0.0,0.0,0.7382943143812709,0.6875,865.8,36315,23,0.28053284756827923,2.26249049206039
BAW BAW,401250,360812.5,0.14920004960932656,0.11718592700767545,0.6846372111876773,0.4215116279069768,0.0,0.0,0.7382943143812709,0.6875,4027.6,53394,8,0.2957448407091128,2.4392453058358505
BAYSIDE,1582500,1496727.273,0.73521021952127,0.6254214089939044,0.8204296716659909,0.3953488372093023,0.12419239052404883,0.005305290858096501,0.9155518394648828,0.6625,37.2,106856,11,0.35214900191765824,2.7040439085699033
BENALLA,290000,290000.0,0.0940096738186779,0.08550271808778417,0.4219700040535063,0.09011627906976744,0.0,0.0,0.6872909698996655,0.6125,2352.6,14034,1,0.21605402093332837,1.739107387612497
BOROONDARA,2075000,2127833.333,0.9795361527967258,0.9077933793323252,0.8954195379002837,0.502906976744186,0.1507537688442211,0.004231980239173083,0.927257525083612,0.6,60.2,183197,12,0.3750204237465542,2.8368436256478136
BRIMBANK,632500,655175.0,0.2639216172640456,0.24889076140388355,0.4856100526955816,0.3866279069767442,0.167264895908112,0.010204580870012107,0.9297658862876256,0.5875,123.4,209568,20,0.3040133279110209,2.3126065593780973
BULOKE,135500,126300.0,0.017363264293687213,0.01225941640819093,0.40656668017835423,0.20348837209302328,0.0,0.0,0.2809364548494983,0.575,8000.4,6123,5,0.13927169198034242,1.399155772145344
CAMPASPE,234500,245142.857,0.06647649758154534,0.06543255768928903,0.6120794487231456,0.3982558139534884,0.0,0.0,0.7533444816053512,0.575,4518.9,37615,7,0.2855069439852515,2.257498138177567
CARDINIA,550000,592846.154,0.2229939228574972,0.2210033425222775,0.7044993919740575,0.39244186046511625,0.3151471643933956,0.18346752178158315,0.822742474916388,0.55,1282.6,112179,13,0.35508439653179436,2.5075557865568054
CASEY,567500,609903.846,0.2316755550043408,0.2286353625657325,0.5650587758411025,0.6308139534883721,1.0,0.02602705703746916,0.9155518394648828,0.55,409.4,353962,26,0.3379287834608393,2.5903105680780767
CENTRAL GOLDFIELDS,235500,256666.667,0.06697259084707925,0.07058858635348154,0.0474260235103364,0.16569767441860464,0.0,0.0,0.7023411371237458,0.525,1532.8,13182,3,0.16818259635227847,1.3763201587999694
COLAC OTWAY,530250,583812.5,0.21319608086320227,0.21696146930791546,0.5857316578840698,0.26744186046511625,0.0,0.0,0.6864548494983278,0.525,3437.5,21562,8,0.2561688566247179,1.993244858979771
CORANGAMITE,221500,219000.0,0.060027285129604376,0.053735617176048564,0.8488042156465342,0.2761627906976744,0.0,0.0,0.5209030100334449,0.5125,4407.5,16017,7,0.26289956144739524,2.0881095462474115
DAREBIN,1135000,1082357.143,0.5132084831948406,0.4400222859725099,0.6011349817592216,0.32848837209302323,0.09117013639626703,0.005129388614142011,0.9548494983277592,0.5,53.5,164224,7,0.32053664900711915,2.312900073883726
EAST GIPPSLAND,310000,312764.706,0.10393153912935632,0.09568819291493902,0.4049452776651803,0.4244186046511628,0.0,0.0,0.6780936454849499,0.5,20940.2,47308,17,0.24031001264475949,1.9351826044607972
FRANKSTON,608750,630750.0,0.25213940220761505,0.23796243126629002,0.3785974868261045,0.39244186046511625,0.3287867910983489,0.017394419788175106,0.9531772575250836,0.4875,129.6,142645,8,0.29440647441139944,2.149084342082875
GANNAWARRA,205000,195833.333,0.051841746248294684,0.0433702953679137,0.5755978921767329,0.20930232558139536,0.0,0.0,0.4974916387959866,0.4875,3735.3,10469,3,0.21035346453645046,1.7065373023940116
GLEN EIRA,1477750,1512500.0,0.6832444499565918,0.6324785049130911,0.8325901905147952,0.3343023255813953,0.0832735104091888,0.0029072364621843144,0.9506688963210702,0.4625,38.7,156535,14,0.355048320170844,2.508541533252486
GLENELG,212750,212750.0,0.05568646905618256,0.05093921744790282,0.4434535873530603,0.2790697674418605,0.0,0.0,0.7876254180602007,0.45,6218.6,19671,6,0.2561930196000912,1.8950754089430986
GOLDEN PLAINS,421500,407125.0,0.15924593823638844,0.13790724899323534,0.7920551276854478,0.2790697674418605,0.0,0.0,0.5008361204013378,0.4375,2703.4,23722,4,0.25015230213646905,1.9468128633004147
GREATER BENDIGO,368750,368557.692,0.13307701847947415,0.12065131145619327,0.5083096878800162,0.6540697674418605,0.0,0.0,0.8503344481605352,0.425,3000.0,118091,26,0.31159165789149446,2.362089981610652
GREATER DANDENONG,629000,658142.8570000001,0.2621852908346769,0.2502186517251597,0.4389947304418321,0.313953488372093,0.16080402010050251,0.006102103656798464,0.9573578595317724,0.4,129.5,168261,7,0.2949810179825388,2.050355371724189
GREATER GEELONG,552500,588964.286,0.224234156021332,0.21926650178309384,0.5634373733279286,1.0,0.0,0.0,0.8879598662207357,0.4,1248.0,258938,42,0.3577826245514855,2.766546728484037
GREATER SHEPPARTON,279250,315833.333,0.08867667121418826,0.09706117014831192,0.2472638832590191,0.4709302325581395,0.0,0.0,0.907190635451505,0.4,2421.9,66501,6,0.2674516371869398,1.9589742822692997
HEPBURN,521250,487750.0,0.20873124147339703,0.17398080548631542,0.7190920145926225,0.1511627906976744,0.0,0.0,0.5158862876254181,0.4,1473.0,15973,6,0.2309259135057721,1.7312522975534739
HINDMARSH,100500,103250.0,0.0,0.001946294210789436,0.05674908796108634,0.10465116279069768,0.0,0.0,0.431438127090301,0.375,7524.2,5586,4,0.10789564053658073,0.9232552798950614
HOBSONS BAY,850750,838607.1429999998,0.3721939724668238,0.33096269657482597,0.665585731657884,0.36046511627906974,0.11198851399856424,0.0049740727648656885,0.9122073578595318,0.35,64.2,97765,14,0.32401305862507795,2.229605965690888
HORSHAM,269000,235833.333,0.08359171524246559,0.061267253628046435,0.4296716659910823,0.21511627906976746,0.0,0.0,0.9130434782608696,0.35,4266.8,19920,3,0.2743170973128175,1.852308280202914
HUME,533500,559468.75,0.2148083839761875,0.20606949236678784,0.4823672476692338,0.4709302325581395,0.2677674084709261,0.011504874012190785,0.9180602006688964,0.325,503.9,233545,16,0.3081731157516678,2.1422621159216613
INDIGO,335500,357333.333,0.11658191740047127,0.11562926434319964,0.8540737738143495,0.12790697674418605,0.0,0.0,0.3879598662207358,0.3125,2040.1,16699,6,0.22290797739591314,1.6371074508014263
KINGSTON,890250,922638.889,0.3917896564554136,0.3685605128420279,0.7385488447507094,0.4709302325581395,0.2031586503948313,0.010405870811591498,0.9456521739130436,0.3125,91.4,165804,18,0.35285460264932883,2.4115186030176132
KNOX,763500,782708.333,0.3289098350489892,0.3059522298407988,0.6185650587758411,0.6075581395348837,0.3783201722900215,0.008838097361824091,0.9581939799331104,0.3,113.9,164553,12,0.34854393216372814,2.424973980723895
LATROBE,250000,262166.667,0.0741659431973211,0.07304941811424981,0.0,0.4505813953488372,0.0,0.0,0.8779264214046822,0.2875,1425.6,75553,12,0.2215256786551746,1.5630712337383574
LODDON,161750,157125.0,0.030385712513952626,0.026051259867405724,0.7839481151195784,0.18023255813953487,0.0,0.0,0.35785953177257523,0.2625,6696.4,7502,4,0.21036932944341577,1.5432433202421507
MACEDON RANGES,695000,644136.364,0.2949274463599157,0.24395181121036355,0.7231455208755573,0.313953488372093,0.0,0.0,0.770066889632107,0.2625,1748.3,50230,11,0.298046914817696,2.018901742491153
MANNINGHAM,1121000,1175277.778,0.5062631774773657,0.4815972041250106,0.8431293068504256,0.34011627906976744,0.32663316582914576,0.011926449926215851,0.8637123745819398,0.25,113.3,127585,9,0.3407729510218043,2.2519375032496507
MANSFIELD,365750,368250.0,0.13158873868287238,0.12051364268416885,0.5974868261045804,0.06395348837209303,0.0,0.0,0.2709030100334448,0.25,3843.9,9175,6,0.15368495423336653,1.1485055580864514
MARIBYRNONG,885000,866875.0,0.38918516681136056,0.3436104129956361,0.5618159708147548,0.2616279069767442,0.07681263460157932,0.0018118227875988488,0.9498327759197324,0.25,31.2,93482,8,0.3064239177852871,1.9751810758665256
MAROONDAH,819250,810300.0,0.3565670346025053,0.31829740265646084,0.6120794487231456,0.3313953488372093,0.2254127781765973,0.0059072108072881204,0.9882943143812708,0.2375,61.4,118569,10,0.32904506957676233,2.121887851495286
MELBOURNE,1375000,1674928.571,0.6322708669229815,0.7051529387990914,0.5387109850020266,0.3546511627906977,0.22469490308686288,0.003592891259514483,0.9966555183946488,0.2375,37.4,178994,7,0.32103146173382474,2.0784089943949473
MELTON,515000,523575.0,0.20563065856381,0.1900097687280468,0.479935143899473,0.28488372093023256,0.19669777458722185,0.022735937890661938,0.8938127090301003,0.2125,527.5,164936,20,0.28896323223851345,1.8407566888554507
MILDURA,239000,269357.143,0.06870891727644797,0.07626660933531194,0.12525334414268333,0.3023255813953488,0.0,0.0,0.8988294314381271,0.2,22082.5,55779,7,0.23200802945032611,1.4848009921631191
MITCHELL,442500,448333.333,0.16966389681260075,0.15634484438500162,0.17673287393595458,0.2441860465116279,0.03374012921751615,0.004505154970503332,0.7525083612040134,0.2,2862.1,46087,6,0.20556028731391765,1.3381691157435764
MOIRA,262500,306500.0,0.0803671090164951,0.09288521337008894,0.4296716659910823,0.3168604651162791,0.0,0.0,0.657190635451505,0.1875,4046.4,29920,6,0.2298137293482323,1.5513108842527197
MONASH,1100000,1093800.0,0.4958452189011534,0.4451420943251517,0.7316578840697203,0.4476744186046512,0.1464465183058148,0.006114921444463724,0.903846153846154,0.1875,81.5,202896,15,0.33989869091704156,2.2247534602091124
MOONEE VALLEY,1088500,1080366.667,0.4901401463475134,0.4391316993252651,0.7296311309282529,0.3343023255813953,0.11844938980617373,0.003004258124545541,0.8913043478260869,0.175,43.1,130313,15,0.3264270399424661,2.087123181715323
MOORABOOL,477500,466250.0,0.187027161106288,0.16436119042149408,0.5905958654235914,0.16279069767441862,0.0,0.0,0.7959866220735786,0.175,2110.6,35051,6,0.26982836796467924,1.687042963304442
MORELAND,849250,856964.286,0.3714498325685229,0.33917612212598325,0.6947709768950141,0.34011627906976744,0.08614501076812635,0.002707698517874231,0.9314381270903009,0.175,51.0,185811,14,0.32983860988947905,2.0975521242040758
MORNINGTON PENINSULA,795000,897693.548,0.3445367729133077,0.3573993696754835,0.5768139440616132,0.6104651162790697,0.542713567839196,0.08763875937790039,0.8913043478260869,0.1625,724.2,167619,31,0.34613622039140485,2.2465036008755965
MOUNT ALEXANDER,505000,490333.333,0.2006697259084708,0.17513665055814098,0.7932711795703283,0.22093023255813954,0.0,0.0,0.6036789297658863,0.15,1529.6,19751,6,0.2660262491078633,1.7321940038389902
MOYNE,382000,389500.0,0.1396502542477986,0.13002140175986435,0.8325901905147952,0.17732558139534885,0.0,0.0,0.5493311036789298,0.15,5481.7,16952,4,0.2570082339098818,1.675348363714706
MURRINDINDI,380500,386666.667,0.1389061143494977,0.12875370069891295,0.301175516822051,0.19476744186046516,0.0,0.0,0.35702341137123744,0.15,3879.8,14568,6,0.137284818388771,0.97557993491256
NILLUMBIK,815500,858777.7779999998,0.35470668485675305,0.33998752189171033,0.8565058775841102,0.23837209302325585,0.2433596554199569,0.08830227164749176,0.7750836120401338,0.1375,432.3,65099,9,0.3327295399682699,2.026381406965557
NORTHERN GRAMPIANS,189000,224666.667,0.04390425399975195,0.056271019745375336,0.39643291447101736,0.15406976744186046,0.0,0.0,0.7140468227424749,0.1375,5729.9,11401,3,0.22228209256433143,1.3712036614723058
PORT PHILLIP,1776250,1792625.0,0.8313282897184671,0.7578131407285832,0.6100526955816782,0.18604651162790695,0.07465900933237618,0.002896545956787577,0.9615384615384616,0.1375,20.7,115620,8,0.3097031959951267,1.8599249784535534
PYRENEES,231000,231000.0,0.0647401711521766,0.059104704654088375,0.6185650587758411,0.09883720930232558,0.0,0.0,0.5476588628762542,0.1375,3434.6,7470,2,0.21704700767438825,1.3739751945208492
QUEENSCLIFFE,888750,888750.0,0.3910455165571127,0.35339781204414616,1.0,0.0,0.0,0.0,0.6806020066889632,0.125,8.6,2939,2,0.294415412739352,1.7762092395683893
SOUTH GIPPSLAND,328750,343208.333,0.11323328785811733,0.10930940095759026,0.6047831374138629,0.375,0.0,0.0,0.5376254180602007,0.125,3296.3,29910,12,0.2367840236293325,1.6068044229687402
SOUTHERN GRAMPIANS,186750,183625.0,0.042788044152300635,0.03790799471474367,0.6477503040129712,0.22093023255813954,0.0,0.0,0.6421404682274248,0.125,6654.0,16098,4,0.251654347515663,1.6030831375529995
STONNINGTON,2116250,2333916.667,1.0,1.0,0.7985407377381435,0.2936046511627907,0.04666188083273511,0.001376565614562301,0.9306020066889632,0.125,25.7,117776,6,0.3411242142440927,2.108344659706451
STRATHBOGIE,339500,345125.0,0.11856629046260694,0.1101669636900296,0.7725982975273612,0.12209302325581395,0.0,0.0,0.5551839464882943,0.125,3303.3,10778,4,0.24419137283039075,1.5453839892393293
SURF COAST,905000,957142.857,0.39910703212203896,0.3839984147196519,0.7162545601945682,0.34011627906976744,0.0,0.0,0.6755852842809364,0.125,1552.9,33457,7,0.27941267737325,1.8195476444503096
SWAN HILL,225000,186200.0,0.061763611558973086,0.03906011140273971,0.17794892582083496,0.19186046511627908,0.0,0.0,0.7968227424749164,0.1125,6115.3,20650,5,0.20919211252127046,1.2500399183520183
TOWONG,251500,285333.333,0.07491008309562197,0.0834147394749607,0.7320632346980138,0.06976744186046513,0.0,0.0,0.28929765886287623,0.0875,6674.9,6039,3,0.17828816715246537,1.1583313255658538
WANGARATTA,345750,345750.0,0.12166687337219398,0.1104466036628442,0.5683015808674503,0.3023255813953488,0.0,0.0,0.0,0.0875,3645.1,29184,2,0.11344314779294772,0.9361798788937388
WARRNAMBOOL,360000,343333.333,0.12873620240605232,0.10936532895215316,0.4904742602351033,0.2441860465116279,0.0,0.0,0.8060200668896321,0.075,120.9,35181,3,0.2634305803563997,1.5858065426312844
WELLINGTON,252500,267392.857,0.0754061763611559,0.07538774072148788,0.4864207539521686,0.4418604651162791,0.0,0.0,0.9665551839464884,0.075,10817.3,44378,14,0.3132105483852839,1.931671104838456
WEST WIMMERA,171250,171250.0,0.03509859853652487,0.0323711232530151,0.7884069720308067,0.10465116279069768,0.0,0.0,0.6279264214046822,0.075,9108.2,3839,2,0.2600694906309828,1.5704977482494573
WHITEHORSE,1159500,1203562.5,0.5253627682004217,0.4942524663508471,0.7640859343331983,0.40988372093023256,0.11198851399856424,0.0034940223499622444,0.35785953177257523,0.075,64.3,178779,16,0.2276619118239177,1.5783227537831162
WHITTLESEA,590500,605166.667,0.24308570011162095,0.2265158351948881,0.5954600729631129,0.36046511627906974,0.4213926776740847,0.06419659687204976,0.9765886287625418,0.0625,489.7,230297,9,0.33946219646195175,2.0008594549663754
WODONGA,395000,389500.0,0.14609946669973956,0.13002140175986435,0.6412646939602756,0.14244186046511628,0.0,0.0,0.8653846153846154,0.0625,432.7,42083,5,0.28997612145257523,1.6839158235564338
WYNDHAM,565000,583350.0,0.230435321840506,0.2167545357280327,0.5630320226996351,0.3866279069767442,0.29576453697056715,0.0073287214017902095,0.9122073578595318,0.0625,542.1,270607,10,0.3105328583210939,1.89392751574602
YARRA,1352500,1370272.727,0.6211087684484683,0.5688426157047535,0.5695176327523308,0.3488372093023256,0.03589375448671931,0.00256383544745775,0.9180602006688964,0.05,19.5,101516,11,0.30835579269664076,1.8550801423487442
YARRA RANGES,642500,633351.351,0.2688825499193848,0.23912633802296385,0.6627482772598298,0.5377906976744186,0.8068916008614501,1.0,1.0,0.025,2468.2,159474,37,0.582105312925657,2.8319526437340716
YARRIAMBIACK,114500,98900.0,0.006945305717474886,0.0,0.7555735711390352,0.2005813953488372,0.0,0.0,0.8436454849498328,0.0,7325.8,6637,5,0.3078989299767737,1.7755305119836042
